;maribritolima;google;evdokimovds;diggapi;webfrase;digg_updates;klout;Diggnation;DohaFilm;noscoworking;socialbakers;frohiky;rfdaf;juliocesarfort;sp0rkbomb;antoninocencio;richardpbacon;LeddHQ;HouseofMarleyUK;lcavallaro;BBJNewsroom;CrowdStrike;pedro_leite;teocg;cassiomelo;Bitcasa;goodbyebuddy;carnitos;addictgirls;CDNews;daveszt;jerryjamesstone;multitaskgirl;janrezab;DailyBowser;meuvestidopreto;perolascom;SENNAmovie;garethheyes;DocGeeks
juliocesarfort;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
sp0rkbomb;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
antoninocencio;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
richardpbacon;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
LeddHQ;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
HouseofMarleyUK;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
lcavallaro;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9424679893424377;0.974870657797487;0.974870657797487;0.9605729286132987;0.9713115664125819;0.9641627458403187;0.9677422770580922;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0;0.9713115664125819;0.974870657797487;0.9497413155949741;0.974870657797487;0.974870657797487;0.9677422770580922;0.9713115664125819;0.974870657797487;0.974870657797487;0.9641627458403187;0.9424679893424377;0.974870657797487;0.974870657797487;0.9497413155949741;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9129487208621587
BBJNewsroom;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9640382401600455;0.9964409086150946;0.9964409086150946;0.9821431794309063;0.9928818172301894;0.9857329966579264;0.9893125278756999;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9713115664125819;0;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9893125278756999;0.9928818172301894;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9640382401600455;0.9964409086150946;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9345189716797664
CrowdStrike;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
pedro_leite;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9424679893424377;0.974870657797487;0.974870657797487;0.9605729286132987;0.9713115664125819;0.9641627458403187;0.9677422770580922;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9497413155949741;0.9713115664125819;0.974870657797487;0;0.974870657797487;0.974870657797487;0.9677422770580922;0.9713115664125819;0.974870657797487;0.974870657797487;0.9641627458403187;0.9424679893424377;0.974870657797487;0.974870657797487;0.9497413155949741;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9129487208621587
